word,difficulty,trickiness,band,band_label,aoa,syllables,letters,phonemes,freq_pm,pct_known,pos,patterns
okay,1,3,1,Kindergarten,3.43,2,4,3,2006.27,0.95,Adverb,
yes,1,1,1,Kindergarten,2.31,1,3,3,1996.76,1.0,Interjection,
look,1,5,1,Kindergarten,4.05,1,4,3,1947.27,1.0,Verb,double-letter
take,1,2,1,Kindergarten,4.37,1,4,3,1891.04,1.0,Verb,
man,1,1,1,Kindergarten,3.11,1,3,3,1845.75,1.0,Noun,
where,1,5,1,Kindergarten,4.09,1,5,3,1830.22,1.0,Adverb,
them,1,2,1,Kindergarten,4.9,1,4,3,1778.82,1.0,Pronoun,
some,1,2,1,Kindergarten,4.85,1,4,3,1727.24,1.0,Determiner,
tell,1,5,1,Kindergarten,4.26,1,4,3,1724.49,1.0,Verb,double-letter
or,1,1,1,Kindergarten,4.14,1,2,2,1705.29,1.0,Conjunction,
us,1,1,1,Kindergarten,4.19,1,2,2,1695.65,1.0,Pronoun,
say,1,1,1,Kindergarten,3.42,1,3,2,1639.78,1.0,Verb,
down,1,2,1,Kindergarten,4.93,1,4,3,1490.27,1.0,Adverb,
little,1,7,1,Kindergarten,3.95,2,6,5,1446.39,1.0,Adjective,double-letter
our,1,2,1,Kindergarten,4.35,2,3,2,1400.49,1.0,Pronoun,
make,1,2,1,Kindergarten,4.68,1,4,3,1387.75,1.0,Verb,
more,1,2,1,Kindergarten,3.78,1,4,3,1298.59,0.95,Determiner,
need,1,5,1,Kindergarten,3.56,1,4,3,1294.9,1.0,Verb,double-letter
mean,1,2,1,Kindergarten,4.0,1,4,3,1243.98,1.0,Verb,
very,1,1,1,Kindergarten,4.9,2,4,4,1241.25,1.0,Adverb,
off,1,5,1,Kindergarten,3.83,1,3,2,1179.51,1.0,Adverb,double-letter
sorry,1,6,1,Kindergarten,3.44,2,5,4,1167.96,1.0,Adjective,double-letter
give,1,2,1,Kindergarten,4.28,1,4,3,1167.82,1.0,Verb,
thank,1,3,1,Kindergarten,3.79,1,5,4,1115.24,1.0,Verb,
people,1,3,1,Kindergarten,3.52,2,6,5,1102.98,1.0,Noun,
please,1,5,1,Kindergarten,3.48,1,6,4,1100.96,1.0,Adverb,
sure,1,2,1,Kindergarten,4.85,1,4,3,1099.82,1.0,Adjective,
thing,1,5,1,Kindergarten,4.58,1,5,3,1088.67,1.0,Noun,
only,1,1,1,Kindergarten,4.95,2,4,4,1083.71,1.0,Adverb,
because,1,6,1,Kindergarten,4.44,2,7,5,1071.02,1.0,Conjunction,
two,1,2,1,Kindergarten,4.24,1,3,2,1066.35,1.0,Number,
much,1,2,1,Kindergarten,4.58,1,4,3,973.25,1.0,Determiner,
maybe,1,3,1,Kindergarten,4.5,2,5,4,926.45,1.0,Adverb,
help,1,1,1,Kindergarten,3.65,1,4,4,921.12,1.0,Verb,
god,1,1,1,Kindergarten,4.35,1,3,3,903.16,1.0,Name,
night,1,9,1,Kindergarten,3.61,1,5,3,866.04,1.0,Noun,gh
call,1,5,1,Kindergarten,4.74,1,4,3,861.39,1.0,Verb,double-letter
talk,1,2,1,Kindergarten,3.68,1,4,3,855.0,1.0,Verb,
first,1,2,1,Kindergarten,4.39,1,5,4,840.57,1.0,Number,
wait,1,2,1,Kindergarten,4.3,1,4,3,830.25,1.0,Verb,
put,1,1,1,Kindergarten,3.72,1,3,3,828.45,1.0,Verb,
day,1,1,1,Kindergarten,3.5,1,3,2,801.82,1.0,Noun,
home,1,2,1,Kindergarten,3.87,1,4,3,774.33,1.0,Adverb,
guy,1,1,1,Kindergarten,4.11,1,3,2,762.61,1.0,Noun,
new,1,1,1,Kindergarten,4.72,1,3,2,723.78,1.0,Adjective,
last,1,1,1,Kindergarten,4.35,1,4,4,723.1,1.0,Number,
stop,1,1,1,Kindergarten,2.89,1,4,4,707.27,1.0,Verb,
keep,1,5,1,Kindergarten,4.42,1,4,3,702.86,1.0,Verb,double-letter
must,1,1,1,Kindergarten,4.58,1,4,4,699.24,1.0,Verb,
big,1,1,1,Kindergarten,2.89,1,3,3,682.82,1.0,Adjective,
long,1,2,1,Kindergarten,4.24,1,4,3,675.16,1.0,Adverb,
everything,1,9,1,Kindergarten,4.44,3,10,7,654.88,1.0,Pronoun,
nice,1,2,1,Kindergarten,3.95,1,4,3,649.51,1.0,Adjective,
name,1,2,1,Kindergarten,3.68,1,4,3,641.86,1.0,Noun,
thanks,1,3,1,Kindergarten,3.53,1,6,5,623.31,1.0,Noun,
old,1,1,1,Kindergarten,3.72,1,3,3,608.94,1.0,Adjective,
place,1,2,1,Kindergarten,4.95,1,5,4,602.67,1.0,Noun,
kind,1,1,1,Kindergarten,4.89,1,4,4,590.69,1.0,Noun,
girl,1,2,1,Kindergarten,4.0,1,4,3,557.12,1.0,Noun,
hear,1,2,1,Kindergarten,3.8,1,4,3,555.35,1.0,Verb,
father,1,6,1,Kindergarten,4.11,2,6,4,554.49,1.0,Noun,
every,1,4,1,Kindergarten,4.2,3,5,4,549.16,1.0,Article,
bad,1,1,1,Kindergarten,2.79,1,3,3,545.18,1.0,Adjective,
three,1,8,1,Kindergarten,3.69,1,5,3,542.24,0.95,Number,double-letter
boy,1,1,1,Kindergarten,3.67,1,3,2,529.82,1.0,Noun,
coming,1,3,1,Kindergarten,4.77,2,6,5,527.02,1.0,Verb,
wrong,1,9,1,Kindergarten,4.22,1,5,3,523.1,1.0,Adjective,silent-w
stay,1,2,1,Kindergarten,4.22,1,4,3,515.65,1.0,Verb,
house,1,5,1,Kindergarten,3.16,1,5,3,514.0,1.0,Noun,
baby,1,1,1,Kindergarten,3.84,2,4,4,509.37,1.0,Noun,
dad,1,1,1,Kindergarten,2.58,1,3,3,507.25,1.0,Noun,
ask,1,1,1,Kindergarten,2.89,1,3,3,483.14,1.0,Verb,
car,1,1,1,Kindergarten,3.37,1,3,3,483.06,1.0,Noun,
mother,1,6,1,Kindergarten,2.63,2,6,4,479.92,1.0,Noun,
try,1,1,1,Kindergarten,3.44,1,3,3,476.75,1.0,Verb,
next,1,1,1,Kindergarten,4.35,1,4,5,452.75,1.0,Number,
someone,1,4,1,Kindergarten,4.92,2,7,6,446.12,1.0,Pronoun,
real,1,2,1,Kindergarten,4.95,1,4,3,442.8,1.0,Adjective,
room,1,5,1,Kindergarten,4.22,1,4,3,439.51,1.0,Noun,double-letter
morning,1,4,1,Kindergarten,4.0,2,7,6,439.0,1.0,Noun,
hold,1,1,1,Kindergarten,4.67,1,4,4,436.73,1.0,Verb,
woman,1,1,1,Kindergarten,4.95,2,5,5,434.63,1.0,Noun,
yourself,1,6,1,Kindergarten,4.95,2,8,6,434.33,1.0,Pronoun,
today,1,3,1,Kindergarten,4.77,2,5,4,433.8,1.0,Adverb,
mom,1,1,1,Kindergarten,2.22,1,3,3,430.39,1.0,Noun,
friend,1,6,1,Kindergarten,3.57,1,6,5,419.29,1.0,Noun,ie/ei
move,1,2,1,Kindergarten,4.62,1,4,3,418.14,1.0,Verb,
tonight,1,9,1,Kindergarten,4.73,2,7,5,412.69,1.0,Adverb,gh
son,1,1,1,Kindergarten,3.78,1,3,3,410.76,1.0,Noun,
best,1,1,1,Kindergarten,4.09,1,4,4,404.37,1.0,Adjective,
pretty,1,7,1,Kindergarten,4.09,2,6,5,392.22,1.0,Adverb,double-letter
head,1,2,1,Kindergarten,3.42,1,4,3,371.51,1.0,Noun,
many,1,1,1,Kindergarten,4.6,2,4,4,359.43,1.0,Determiner,
play,1,2,1,Kindergarten,4.1,1,4,3,354.53,1.0,Verb,
family,1,2,1,Kindergarten,3.38,3,6,6,354.25,1.0,Noun,
meet,1,5,1,Kindergarten,4.74,1,4,3,352.27,1.0,Verb,double-letter
run,1,1,1,Kindergarten,4.47,1,3,3,350.55,1.0,Verb,
once,1,1,1,Kindergarten,4.97,1,4,4,344.88,1.0,Adverb,
everybody,1,5,1,Kindergarten,4.88,4,9,8,344.22,1.0,Pronoun,
use,1,1,1,Kindergarten,4.5,1,3,3,343.84,1.0,Verb,
myself,1,1,1,Kindergarten,3.81,2,6,6,342.55,1.0,Pronoun,
start,1,1,1,Kindergarten,4.37,1,5,5,340.1,1.0,Verb,
kid,1,1,1,Kindergarten,4.28,1,3,3,339.2,1.0,Noun,
happy,1,6,1,Kindergarten,2.72,2,5,4,333.2,1.0,Adjective,double-letter
school,1,9,1,Kindergarten,3.89,1,6,4,333.12,1.0,Noun,double-letter|sc
watch,1,5,1,Kindergarten,4.33,1,5,3,330.02,1.0,Verb,
bring,1,2,1,Kindergarten,4.42,1,5,4,327.16,1.0,Verb,
hope,1,2,1,Kindergarten,4.89,1,4,3,320.63,1.0,Verb,
looks,1,6,1,Kindergarten,4.77,1,5,4,311.49,1.0,Verb,double-letter
sit,1,1,1,Kindergarten,3.47,1,3,3,311.35,1.0,Verb,
alone,1,3,1,Kindergarten,4.94,2,5,4,308.53,1.0,Adjective,
hard,1,1,1,Kindergarten,4.39,1,4,4,307.84,1.0,Adjective,
turn,1,2,1,Kindergarten,4.11,1,4,3,306.47,1.0,Verb,
kids,1,1,1,Kindergarten,3.86,1,4,4,301.1,1.0,Noun,
both,1,2,1,Kindergarten,4.77,1,4,3,295.33,1.0,Determiner,
door,1,5,1,Kindergarten,3.05,1,4,3,292.06,1.0,Noun,double-letter
later,1,3,1,Kindergarten,4.75,2,5,4,291.94,1.0,Adverb,
saying,1,6,1,Kindergarten,4.95,2,6,4,291.65,1.0,Verb,
face,1,2,1,Kindergarten,3.75,1,4,3,289.16,1.0,Noun,
five,1,2,1,Kindergarten,4.51,1,4,3,285.45,1.0,Number,
second,1,1,1,Kindergarten,4.68,2,6,6,284.57,1.0,Noun,
brother,1,6,1,Kindergarten,3.63,2,7,5,283.94,1.0,Noun,
hand,1,1,1,Kindergarten,2.74,1,4,4,279.65,1.0,Noun,
forget,1,3,1,Kindergarten,4.78,2,6,5,277.06,1.0,Verb,
hit,1,1,1,Kindergarten,4.75,1,3,3,275.0,1.0,Verb,
phone,1,5,1,Kindergarten,4.11,1,5,3,269.73,1.0,Noun,
end,1,1,1,Kindergarten,4.28,1,3,3,265.86,1.0,Noun,
doctor,1,3,1,Kindergarten,4.6,2,6,5,263.94,1.0,Noun,
shut,1,2,1,Kindergarten,4.89,1,4,3,263.82,1.0,Verb,
die,1,5,1,Kindergarten,4.53,1,3,2,261.14,1.0,Verb,ie/ei
soon,1,5,1,Kindergarten,4.83,1,4,3,257.65,0.95,Adverb,double-letter
four,1,2,1,Kindergarten,4.93,1,4,3,255.78,1.0,Number,
true,1,2,1,Kindergarten,4.64,1,4,3,253.35,1.0,Adjective,
each,1,4,1,Kindergarten,4.95,1,4,2,253.25,0.95,Pronoun,
eat,1,1,1,Kindergarten,2.78,1,3,2,251.88,1.0,Verb,
mine,1,2,1,Kindergarten,4.24,1,4,3,250.98,1.0,Pronoun,
afraid,1,3,1,Kindergarten,4.42,2,6,5,247.67,1.0,Adjective,
drink,1,1,1,Kindergarten,3.47,1,5,5,247.39,1.0,Noun,
hurt,1,2,1,Kindergarten,4.0,1,4,3,246.35,1.0,Verb,
young,1,5,1,Kindergarten,4.61,1,5,3,243.18,1.0,Adjective,
everyone,1,5,1,Kindergarten,4.83,3,8,7,241.65,1.0,Pronoun,
read,1,2,1,Kindergarten,4.11,1,4,3,241.22,1.0,Verb,
number,1,3,1,Kindergarten,3.94,2,6,5,240.94,1.0,Noun,
change,1,5,1,Kindergarten,4.26,1,6,4,240.35,1.0,Verb,
point,1,2,1,Kindergarten,4.55,1,5,4,236.53,1.0,Noun,
word,1,2,1,Kindergarten,4.42,1,4,3,235.55,1.0,Noun,
fun,1,1,1,Kindergarten,3.67,1,3,3,235.49,1.0,Noun,
wish,1,2,1,Kindergarten,3.79,1,4,3,235.12,1.0,Verb,
game,1,2,1,Kindergarten,4.26,1,4,3,233.84,1.0,Noun,
party,1,1,1,Kindergarten,4.58,2,5,5,233.14,1.0,Noun,
cut,1,1,1,Kindergarten,4.43,1,3,3,229.76,1.0,Verb,
sleep,1,6,1,Kindergarten,2.79,1,5,4,227.94,1.0,Verb,double-letter
stand,1,1,1,Kindergarten,4.39,1,5,5,226.2,1.0,Verb,
water,1,3,1,Kindergarten,2.37,2,5,4,225.06,1.0,Noun,
trouble,1,4,1,Kindergarten,4.56,2,7,6,223.55,1.0,Noun,
eyes,1,4,1,Kindergarten,3.44,1,4,2,221.55,1.0,Noun,
story,1,1,1,Kindergarten,3.89,2,5,5,220.78,1.0,Noun,
far,1,1,1,Kindergarten,4.88,1,3,3,220.76,1.0,Adverb,
close,1,2,1,Kindergarten,4.5,1,5,4,219.43,1.0,Adjective,
lady,1,1,1,Kindergarten,3.68,2,4,4,217.08,1.0,Noun,
walk,1,2,1,Kindergarten,3.45,1,4,3,215.86,1.0,Verb,
fire,1,3,1,Kindergarten,3.25,2,4,3,215.49,1.0,Noun,
rest,1,1,1,Kindergarten,4.22,1,4,4,212.96,1.0,Noun,
person,1,3,1,Kindergarten,4.67,2,6,5,212.88,1.0,Noun,
inside,1,3,1,Kindergarten,4.77,2,6,5,211.27,1.0,Adverb,
line,1,2,1,Kindergarten,4.85,1,4,3,206.18,1.0,Noun,
yours,1,3,1,Kindergarten,4.51,1,5,4,204.73,1.0,Pronoun,
dinner,1,8,1,Kindergarten,3.99,2,6,4,202.67,1.0,Noun,double-letter
side,1,2,1,Kindergarten,4.72,1,4,3,200.92,1.0,Noun,
cool,1,5,1,Kindergarten,4.58,1,4,3,195.88,1.0,Adjective,double-letter
body,1,1,1,Kindergarten,4.28,2,4,4,195.53,1.0,Noun,
high,1,8,1,Kindergarten,4.58,1,4,2,195.0,1.0,Adjective,gh
dog,1,1,1,Kindergarten,2.8,1,3,3,192.84,1.0,Noun,
truth,1,3,1,Kindergarten,4.42,1,5,4,192.18,1.0,Noun,
hot,1,1,1,Kindergarten,3.37,1,3,3,189.84,1.0,Adjective,
behind,1,1,1,Kindergarten,4.9,2,6,6,187.86,1.0,Preposition,
speak,1,3,1,Kindergarten,3.56,1,5,4,187.18,1.0,Verb,
bed,1,1,1,Kindergarten,2.89,1,3,3,187.12,1.0,Noun,
blood,1,6,1,Kindergarten,4.89,1,5,4,186.12,1.0,Noun,double-letter
ma,1,1,1,Kindergarten,4.35,1,2,2,185.8,1.0,Name,
daddy,1,6,1,Kindergarten,2.56,2,5,4,185.08,1.0,Noun,double-letter
stupid,1,1,1,Kindergarten,4.4,2,6,6,184.41,1.0,Adjective,
sister,1,3,1,Kindergarten,3.68,2,6,5,180.53,1.0,Noun,
bye,1,1,1,Kindergarten,3.28,1,3,2,180.08,1.0,Interjection,
welcome,1,4,1,Kindergarten,4.06,2,7,6,179.22,1.0,Verb,
book,1,5,1,Kindergarten,3.68,1,4,3,176.98,1.0,Noun,double-letter
children,1,4,1,Kindergarten,4.1,2,8,7,175.1,1.0,Noun,
hurry,1,8,1,Kindergarten,4.44,2,5,3,173.65,1.0,Verb,double-letter
white,1,5,1,Kindergarten,4.06,1,5,3,171.45,1.0,Adjective,
daughter,1,10,1,Kindergarten,4.95,2,8,4,171.35,1.0,Noun,gh
outside,1,6,1,Kindergarten,3.58,2,7,5,170.02,1.0,Adverb,
black,1,2,1,Kindergarten,3.56,1,5,4,167.94,1.0,Adjective,
full,1,5,1,Kindergarten,4.24,1,4,3,166.9,1.0,Adjective,double-letter
sick,1,2,1,Kindergarten,4.05,1,4,3,165.43,1.0,Adjective,
light,1,9,1,Kindergarten,4.05,1,5,3,165.2,1.0,Noun,gh
food,1,5,1,Kindergarten,3.25,1,4,3,154.43,1.0,Noun,double-letter
hair,1,2,1,Kindergarten,3.17,1,4,3,153.55,1.0,Noun,
music,1,1,1,Kindergarten,3.81,2,5,6,151.65,1.0,Noun,
street,1,6,1,Kindergarten,4.58,1,6,5,148.18,1.0,Noun,double-letter
red,1,1,1,Kindergarten,3.68,1,3,3,148.06,1.0,Adjective,
dance,1,6,1,Kindergarten,4.63,1,5,4,148.04,1.0,Verb,-ance
pull,1,5,1,Kindergarten,4.79,1,4,3,146.45,1.0,Verb,double-letter
sweet,1,6,1,Kindergarten,4.53,1,5,4,145.2,1.0,Adjective,double-letter
ten,1,1,1,Kindergarten,3.58,1,3,3,145.0,1.0,Number,
coffee,1,8,1,Kindergarten,4.94,2,6,4,144.53,1.0,Noun,double-letter
sound,1,3,1,Kindergarten,3.72,1,5,4,143.39,1.0,Verb,
air,1,1,1,Kindergarten,3.94,1,3,2,139.02,1.0,Noun,
picture,1,6,1,Kindergarten,4.05,2,7,5,138.45,1.0,Noun,
fast,1,1,1,Kindergarten,3.74,1,4,4,137.45,0.95,Adverb,
catch,1,5,1,Kindergarten,4.61,1,5,3,135.51,1.0,Verb,
ride,1,2,1,Kindergarten,4.67,1,4,3,135.37,1.0,Noun,
win,1,1,1,Kindergarten,4.22,1,3,3,134.65,0.95,Verb,
top,1,1,1,Kindergarten,3.89,1,3,3,133.43,1.0,Noun,
scared,1,5,1,Kindergarten,3.79,1,6,5,133.39,1.0,Adjective,sc
dream,1,2,1,Kindergarten,4.88,1,5,4,133.29,1.0,Noun,
sign,1,5,1,Kindergarten,4.32,1,4,3,133.27,1.0,Verb,gn
drop,1,1,1,Kindergarten,3.26,1,4,4,130.61,1.0,Verb,
cold,1,1,1,Kindergarten,3.95,1,4,4,130.16,1.0,Adjective,
throw,1,5,1,Kindergarten,4.14,1,5,3,128.82,1.0,Verb,
write,1,9,1,Kindergarten,4.89,1,5,3,126.8,1.0,Verb,silent-w
cannot,1,7,1,Kindergarten,4.83,2,6,5,126.76,1.0,#N/A,double-letter
small,1,6,1,Kindergarten,3.22,1,5,4,124.96,1.0,Adjective,double-letter
human,1,1,1,Kindergarten,4.83,2,5,6,124.76,1.0,Adjective,
piece,1,8,1,Kindergarten,4.89,1,5,3,124.49,1.0,Noun,ie/ei
uncle,1,1,1,Kindergarten,4.47,2,5,5,124.06,1.0,Noun,
movie,1,6,1,Kindergarten,3.56,2,5,4,122.96,1.0,Noun,ie/ei
christmas,1,7,1,Kindergarten,4.35,2,9,7,122.43,1.0,122.43,
clean,1,2,1,Kindergarten,3.89,1,5,4,121.24,1.0,Adjective,
kiss,1,5,1,Kindergarten,3.61,1,4,3,121.16,1.0,Verb,double-letter
lie,1,5,1,Kindergarten,3.75,1,3,2,120.25,1.0,Verb,ie/ei
step,1,1,1,Kindergarten,4.11,1,4,4,118.67,1.0,Verb,
learn,1,5,1,Kindergarten,4.44,1,5,3,118.57,1.0,Verb,
fall,1,5,1,Kindergarten,4.71,1,4,3,118.51,1.0,Verb,double-letter
class,1,6,1,Kindergarten,4.95,1,5,4,117.35,1.0,Noun,double-letter
quiet,1,4,1,Kindergarten,4.15,2,5,5,117.22,1.0,Adjective,ie/ei
goodbye,1,9,1,Kindergarten,3.47,2,7,5,116.51,1.0,Interjection,double-letter
mad,1,1,1,Kindergarten,3.55,1,3,3,113.41,1.0,Adjective,
tired,1,3,1,Kindergarten,4.62,2,5,4,112.65,1.0,Adjective,
road,1,2,1,Kindergarten,4.55,1,4,3,111.94,1.0,Noun,
eye,1,4,1,Kindergarten,3.75,1,3,1,111.78,1.0,Noun,
wear,1,2,1,Kindergarten,4.63,1,4,3,109.33,1.0,Verb,
table,1,4,1,Kindergarten,4.39,2,5,5,105.63,1.0,Noun,-able
ball,1,5,1,Kindergarten,2.9,1,4,3,104.96,1.0,Noun,double-letter
mouth,1,5,1,Kindergarten,3.58,1,5,3,104.41,1.0,Noun,
lunch,1,2,1,Kindergarten,3.61,1,5,4,104.12,1.0,Noun,
mama,1,1,1,Kindergarten,1.89,2,4,4,103.71,1.0,Noun,
paper,1,3,1,Kindergarten,4.0,2,5,4,103.35,1.0,Noun,
blue,1,2,1,Kindergarten,3.53,1,4,3,102.39,1.0,Adjective,
tv,1,1,1,Kindergarten,3.47,2,2,4,101.94,1.0,101.94,
clothes,1,5,1,Kindergarten,3.11,1,7,5,101.14,1.0,Noun,
floor,1,6,1,Kindergarten,4.44,1,5,4,100.63,0.95,Noun,double-letter
pain,1,2,1,Kindergarten,4.26,1,4,3,97.94,1.0,Noun,
sing,1,2,1,Kindergarten,3.47,1,4,3,97.59,1.0,Verb,
blow,1,2,1,Kindergarten,4.0,1,4,3,97.57,1.0,Verb,
birthday,1,8,1,Kindergarten,2.85,2,8,5,97.22,1.0,Noun,
stick,1,3,1,Kindergarten,3.89,1,5,4,97.12,1.0,Verb,
yesterday,1,7,1,Kindergarten,4.58,3,9,7,96.76,1.0,Adverb,
boat,1,2,1,Kindergarten,3.84,1,4,3,95.78,1.0,Noun,
plane,1,2,1,Kindergarten,4.95,1,5,4,95.53,1.0,Noun,
train,1,3,1,Kindergarten,4.0,1,5,4,95.06,1.0,Noun,
bag,1,1,1,Kindergarten,4.28,1,3,3,94.04,1.0,Noun,
song,1,2,1,Kindergarten,4.26,1,4,3,93.69,1.0,Noun,
horse,1,2,1,Kindergarten,4.15,1,5,4,92.88,1.0,Noun,
ring,1,2,1,Kindergarten,4.53,1,4,3,92.75,1.0,Noun,
afternoon,1,9,1,Kindergarten,4.65,3,9,7,91.49,1.0,Noun,double-letter
count,1,2,1,Kindergarten,2.61,1,5,4,89.96,1.0,Verb,
box,1,1,1,Kindergarten,4.3,1,3,4,89.75,1.0,Noun,
present,1,2,1,Kindergarten,4.83,2,7,7,89.45,1.0,Noun,
middle,1,7,1,Kindergarten,4.7,2,6,5,89.2,1.0,Noun,double-letter
dark,1,1,1,Kindergarten,3.74,1,4,4,88.61,1.0,Adjective,
cute,1,1,1,Kindergarten,4.26,1,4,4,87.75,1.0,Adjective,
dress,1,6,1,Kindergarten,4.05,1,5,4,87.2,1.0,Noun,double-letter
key,1,1,1,Kindergarten,3.58,1,3,2,86.86,1.0,Noun,
strong,1,3,1,Kindergarten,4.58,1,6,5,86.86,1.0,Adjective,
rock,1,2,1,Kindergarten,3.22,1,4,3,86.16,1.0,Noun,
voice,1,5,1,Kindergarten,4.83,1,5,3,86.16,1.0,Noun,
cop,1,1,1,Kindergarten,4.94,1,3,3,86.14,1.0,Noun,
window,1,4,1,Kindergarten,4.74,2,6,5,86.0,1.0,Noun,
short,1,3,1,Kindergarten,4.32,1,5,4,85.63,1.0,Adjective,
fly,1,1,1,Kindergarten,3.05,1,3,3,85.0,1.0,Verb,
born,1,1,1,Kindergarten,4.68,1,4,4,83.69,1.0,Verb,
fish,1,2,1,Kindergarten,4.05,1,4,3,83.49,1.0,Noun,
smell,1,6,1,Kindergarten,4.22,1,5,4,83.14,1.0,Verb,double-letter
letter,1,8,1,Kindergarten,4.74,2,6,4,82.61,1.0,Noun,double-letter
trip,1,1,1,Kindergarten,4.22,1,4,4,82.39,1.0,Noun,
store,1,3,1,Kindergarten,4.76,1,5,4,81.92,1.0,Noun,
star,1,1,1,Kindergarten,3.89,1,4,4,81.35,1.0,Noun,
ice,1,1,1,Kindergarten,3.86,1,3,2,79.55,1.0,Noun,
age,1,1,1,Kindergarten,4.38,1,3,2,79.2,1.0,Noun,
seat,1,2,1,Kindergarten,4.58,1,4,3,78.78,1.0,Noun,
summer,1,8,1,Kindergarten,4.33,2,6,4,78.67,1.0,Noun,double-letter
angel,1,1,1,Kindergarten,4.0,2,5,5,78.27,1.0,Noun,
mess,1,5,1,Kindergarten,4.28,1,4,3,78.14,1.0,Noun,double-letter
hungry,1,1,1,Kindergarten,3.63,2,6,6,77.08,1.0,Adjective,
slow,1,2,1,Kindergarten,4.15,1,4,3,76.02,1.0,Adjective,
third,1,5,1,Kindergarten,4.58,1,5,3,74.53,1.0,Number,
bus,1,1,1,Kindergarten,3.85,1,3,3,74.18,1.0,Noun,
kick,1,2,1,Kindergarten,4.06,1,4,3,73.41,1.0,Verb,
fell,1,5,1,Kindergarten,3.28,1,4,3,73.0,1.0,Verb,double-letter
